"Časová značka","Kolik vám je let?","Jaké je vaše pohlaví?","Jaké je vaše nejvyšší ukončené vzdělání?","Myslíte si, že víte co je syndrom vyhoření?","Které pocity patří k syndromu vyhoření?","Co si myslíte, že je syndrom vyhoření","Myslíte si, že stát má prevenční opatření, aby nenastal syndrom vyhoření?"
"2022/04/27 3:09:54 odp. GMT+2","do 18ti let","Muž","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:12:15 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:18:13 odp. GMT+2","18 - 30","Muž","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 3:20:36 odp. GMT+2","18 - 30","Muž","Základní škola","Ne","Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:22:13 odp. GMT+2","18 - 30","Muž","Odborné učiliště s výučním listem","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:23:25 odp. GMT+2","do 18ti let","Žena","Základní škola","Ne","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:26:42 odp. GMT+2","18 - 30","Muž","Vysoká škola (inženýrský studium)","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
"2022/04/27 3:27:32 odp. GMT+2","18 - 30","Žena","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:29:04 odp. GMT+2","do 18ti let","Žena","Základní škola","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost;Agresivita","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:29:43 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:40:14 odp. GMT+2","18 - 30","Žena","Teď maturuji","Ano","Vyčerpanost;Podrážděnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 3:49:05 odp. GMT+2","do 18ti let","Jiné","Základní škola","Ne","Vyčerpanost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ne"
"2022/04/27 4:24:47 odp. GMT+2","18 - 30","Muž","Střední škola s maturitou","Ano","Vyčerpanost;Podrážděnost;Nesoustředěnost","Stav chronického stresu, který vede k emocionálnímu a fyzickému vyčerpání","ano"
